穴名,部位代碼,部位,身體分區,穴號,取穴定位,針法,主治關鍵字,董楊思維,備註,穴位圖,詳細筆記,頁碼
大間穴,一一,一一部位,手指穴位,圖1-8,食指第一節正中央偏向大指外開三分。；平臥或正坐、手心向上、取食指第 一節中央偏向大指三分是穴。；本穴位於食指陰掌第一節 B線，在食指第一節之正中央，與中間穴平 圖1-8 大間穴、小間穴 行。針人一分至三分。,針一分至二分治心臟病變，針二 至三分治小腸病、疝氣及膝痛。左病取右、 右病取左。,"心臟病,膝蓋痛,小腸氣,疝氣,眼角痛,睪丸墜痛,睪丸炎,腮腺炎,前列腺炎,手指麻木",睪丸墜痛、睪丸炎、腮腺炎、對側手指麻木、前列腺炎。（按：此乃 維傑自己研究之補充發揮）,禁忌雙手取穴。,images/圖1-8_大間穴.jpg,notes/大間穴.md,32
小間穴,一一,一一部位,手指穴位,圖1-8,食指第一節外上方，距大間穴高二分。；平臥、手心向上、取食指第一節外上方，距大間穴上二分是穴。；本穴位於陰掌食指第一節B線，取穴採用四分點法，即以兩指 節距離之上1/4處取一穴。食指陰面第一節原有三穴，因下面之穴位不用，剩下 上面兩穴，取穴仍按四分點法，大間穴在中間，小間在兩指紋間之上四分之一。,五分針，針一分至二分治心肺病變，二分至二點五分治小腸氣、疝氣、 膝痛。,"支氣管炎,吐黃痰,胸部發悶,心跳,膝蓋痛,小腸氣,疝氣,眼角痛,腸炎,前列腺炎",腸炎、睪丸墜痛、前列腺炎。,禁忌雙手取穴。,,notes/小間穴.md,34
浮間穴,一一,一一部位,手指穴位,圖1-9,食指第二節中央外開二分。；食指第二節正中央線外開二分， 距第三節橫紋三分三處是穴。；本穴位於陰掌食指第二節 圖1-9 浮間穴、外間穴 之B線，取穴採用三分點法，在兩指紋距離之上三分之一為穴。,五分針，針二分至二點五分。,"疝氣,尿道炎,小腸氣,牙痛,胃痛,前列腺炎",前列腺炎。,禁忌雙手同時取穴。,images/圖1-9_浮間穴.jpg,notes/浮間穴.md,34
外間穴,一一,一一部位,手指穴位,圖1-9,食指第二節正中央線外開二分，距第三節橫紋六分六。；當食指第二節正中央線外開二分，距第三節橫紋六分六是穴。；浮間、外間兩穴均在陰掌（掌心）食指第二節之B線，取穴採用 三分點法，下穴為外間，上穴為浮間。,五分針，針二分至二點五分。,"疝氣,尿道炎,小腸氣,牙痛,胃痛,前列腺炎",前列腺炎。,禁忌雙手同時取穴。,,notes/外間穴.md,36
中間穴,一一,一一部位,手指穴位,圖1-10,食指第一節正中央。；當食指第二節正中央是穴。；中間穴位於陰掌食指第一 節正中央，即C線之中點。,五分針，針深一分至二分治心胸頭眼病，針二分半治疝氣及膝痛。 運用：治疝氣成方——外間、大間、小間、中間四穴同時用針為主治疝氣之特 效針。,"心悸,胸部發悶,膝蓋痛,頭暈,眼昏,疝氣,前列腺炎",治療前列腺炎。 按：以上諸穴目前用治前列腺炎甚多， 圖1-10 中間穴 較治疝氣機會為多。,禁忌兩手同時取穴。,images/圖1-10_中間穴.jpg,notes/中間穴.md,36
脾腫穴,一一,一一部位,手指穴位,圖1-12,在掌面中指第二節中央線。；當掌面中指第二節中央線上，距 第三節橫紋三分三一穴，六分六一穴，共 二穴。；脾腫穴位於陰掌中指第二 圖1-12 脾腫穴 節C線，計有二穴，取穴採用三分點法。,針深一分至二分。,"脾腫大,脾炎,脾硬化,呃逆",呃逆。,,images/圖1-12_脾腫穴.jpg,notes/脾腫穴.md,46
心常穴,一一,一一部位,手指穴位,圖1-13,在掌面中指第一節之中線外開二 分處。；當掌面中指第二節之中線向小指 側外開二分，距第二節橫紋三分三一穴，六 分六一穴，共二穴。；心常穴位於陰掌中指第一 圖1-13心常穴 節D線，計有二穴，取穴採用三分點法。,針深一分至二分。,"心跳,心臟病,心臟性風濕病,心律不齊,心跳過速,心臟擴大,心跳過慢",心律不齊、心跳過速、心臟擴大、心跳過慢。,,images/圖1-13_心常穴.jpg,notes/心常穴.md,46
三眼穴,一一,一一部位,手指穴位,圖1-14,在掌面無名指之內側。；當掌面無名指中央線之內開二 分，距第二節橫紋二分處是穴。；三眼穴位於陰掌無名指 B 線，此穴雖僅一穴，但不採二分點取穴，不取 圖1-14 三眼穴 中點，反取無名指第一節B線上1/3處。,針深二分至三分。,"補虛,功同足三里",功同足三里，取穴在1/3處，故以三名之。但穴在手指上肌肉薄，補虛效果略遜於足三里。,,images/圖1-14_三眼穴.jpg,notes/三眼穴.md,46
復原穴,一一,一一部位,手指穴位,圖1-15,在掌面無名指之中線外開二分處。；當掌面無名指之中央線外開二分直線之中點一穴，其上三分一穴，其 下三分一穴，共三穴。；復原穴位於陰掌無名指第 一節D線，計有三穴，採用四分點法取穴。 針深二分至三分。,針深半分。,"消骨頭脹大,指關節腫大,類風濕關節炎",無名指屬三焦經，透過「三焦與腎通」治骨病（腎主骨）；須針入抵骨行「以骨治骨」體應針法，配五虎穴治類風濕指關節腫大初期有效。,,images/圖1-15_復原穴.jpg,notes/復原穴.md,46
木炎穴,一一,一一部位,手指穴位,圖1-16,在掌面無名指第二節中央外開二分處。；在掌面無名指第二節中央線外開 二分，距第三節橫紋三分三一穴，六分六一 穴，共二穴。；木炎穴位於陰掌無名指第 二節D線，計二穴，取穴採用三分點法。針 深二分至三分。,針深半分。,"肝炎,肝腫大,肝硬化,口苦,易怒,煩躁,脅痛,失眠",口苦，易怒、煩躁、脅痛、失眠。,,images/圖1-16_木炎穴.jpg,notes/木炎穴.md,46
還巢穴,一一,一一部位,手指穴位,圖1-17,在無名指中節外側（靠近小指之側）正中央。；當無名指外側正中央點是穴。；還巢穴位於陰掌無名指第二節E線， 僅一穴，取穴採用二分點法，即無名指第二節靠近小指 之側黑白肉際中點。五分針，針二至三分。,五分針，針深一至三分。,"子宮痛,子宮瘤,子宮炎,月經不調,赤白帶下,輸卵管不通,子宮不正,安胎,不孕症,小便過多,陰門發腫",不孕症。,禁忌雙手同時取穴。,images/圖1-17_還巢穴.jpg,notes/還巢穴.md,46
眼黃穴,一一,一一部位,手指穴位,圖1-18,在掌面小指第二節之中央點。；當掌面小指第二節之中央點 是穴。；眼黃穴位於陰掌小指第二 節C線中央點上。五分針，針一分至二分。,針深半分。,"眼發黃,黃疸",穴在小腸經上，「脾與小腸通」能祛濕治黃；理同腕骨穴（歷代治黃疸第一要穴）；配肝門穴治急性黃疸；配上三黃治慢性黃疸。,,images/圖1-18_眼黃穴.jpg,notes/眼黃穴.md,50
火膝穴,一一,一一部位,手指穴位,圖1-19,在小指甲外側角後二分。；當小指甲外側角之後二分處 是穴。；火膝穴在小腸經上，即少 圖1-19 火溪穴 澤穴後一分。五分針，針一分至二分。,針深半分。,"膝蓋痛,關節炎,心臟性風濕病,痰迷心竅,精神病,肩臂不舉",肩臂不舉。,,images/圖1-19_火膝穴.jpg,notes/火膝穴.md,50
指腎穴,一一,一一部位,手指穴位,圖1-20,在無名指背第一節之外側。；當無名指第一節中央線外開二分 之中點一穴，其上三分一穴，其下三分一穴， 共三穴。；指腎穴位於陽掌無名指第 圖1-20 指腎穴 一節小側，計有三穴，取穴採用四分點法。五分針，針一分至二分。,針深半分。 運用：治背痛宜三針同下。,"口乾,腎虧,心臟衰弱,背痛",透過「三焦與腎通」治口乾腎虧；無名指屬少陽，少陽病提綱有口乾；與通腎穴主治類似，唯效略小；治背闊肌膏育穴附近疼痛。,,images/圖1-20_指腎穴.jpg,notes/指腎穴.md,50
指三重穴,一一,一一部位,手指穴位,圖1-21,在無名指中節之外側。；當無名指中節中央線外開二分之 中點一穴，其上三分一穴，其下三分一穴，共 三穴。；指三重位於陽掌無名指背 圖1-21 指三重穴 第二節小側，計有三穴，取穴採用四分點法。五分針，針一分至二分。,針深半分。,"驅風,顏面神經麻痺,乳腫大,肌肉萎縮,偏頭痛,頭頂痛,後項痛",偏頭痛、頭頂痛、後項痛。,,images/圖1-21_指三重穴.jpg,notes/指三重穴.md,50
心膝穴,一一,一一部位,手指穴位,圖1-24,在中指背第二節中央兩側。；當中指背第二節兩側之中央點共二穴。；心膝穴位於陽掌中指第二 節大側、小側之中央各一穴，取穴採用二分 點法。五分針，針一分至二分。,針深半分。,"膝蓋痛,肩腫痛,脊柱痛",脊柱痛。 圖1-24 心膝穴,,images/圖1-24_心膝穴.jpg,notes/心膝穴.md,54
肺心穴,一一,一一部位,手指穴位,圖1-25,在中指背第二節中央線。；當中指背第二節中央線，距上下 橫紋三分三各一穴，共二穴；肺心穴位於中指背第二節 中央線上，計二穴，取穴採用三分點法。皮 圖 1-25 肺心穴 下針從橈骨側緣向外小指方向橫刺。,橫針皮下半分。,"脊椎骨疼痛,脖頸痛,腰椎痛,尾椎痛,小腿脹痛",中指位於先天乾卦（督脈、肺）與後天離卦（心）之間，故名肺心；對應脊椎，治整個脊椎疼痛；少用於治肺心病，多用於脊椎痛；能強心治小腿脹痛。,,images/圖1-25_肺心穴.jpg,notes/肺心穴.md,54
木火穴,一一,一一部位,手指穴位,圖1-26,在中指背第三節橫紋中央。；當中指第三節橫紋中央點是穴。；當中指第三節橫紋中央點是穴，皮下針從橈骨側緣向外小指方 向橫刺。,橫針皮下半分。,"半身不遂,中風後遺症,四肢寒",四肢寒。,第一次限用五分鐘，五日後限用 三分鐘，又五日後限用一分鐘。時間及次數 均不可多用。,images/圖1-26_木火穴.jpg,notes/木火穴.md,54
指五金、指千金穴,一一,一一部位,手指穴位,圖1-27,食指背第一節中央外開二分直 線上。；當食指背第一節中央線外開二分 直線上，距第二節橫紋三分三為指五金穴， 六分六為指千金穴。；指五金、指千金位於食指背第一節小側（尺側），計二穴，取穴 三分點法，下穴為指五金，上穴為指千金。貼骨旁下針，針深二分至三分。,針深半分。,,胃及十二指腸潰瘍。,,images/圖1-27_指五金、指千金穴.jpg,notes/指五金、指千金穴.md,56
指駟馬穴,一一,一一部位,手指穴位,圖1-28,食指背第二節外側，中央線外開二分之直線上。；當食指第二節中線外開二分之中點一穴，其上三分一穴，其下三分一 穴，共三穴。 56；指駟馬位於食指背第二節 小側（尺側），計三穴，取穴採用四分點法。 貼骨旁下針，針深二分至三分。,針深半分。,"肋膜炎,肋膜痛,皮膚病,臉面黑斑,鼻炎,耳鳴,耳炎,肩痛,退乳回奶",肩痛、退乳回奶。 圖1-28 指駟馬穴,,images/圖1-28_指駟馬穴.jpg,notes/指駟馬穴.md,56
婦科穴,一一,一一部位,手指穴位,圖1-29,在大指第一節之外側。；當大指背第一節之中央線外開三分，距前橫紋三分之一處一穴，距該 橫紋三分之二處一穴，共二穴。；婦科穴位於大指背第一節小側， 計二穴，取穴採用三分點法。貼於骨旁下針，針深 二分至三分，一次兩針齊下，謂之倒馬針。,五分針，針深二分，一用兩針。,"子宮炎,子宮痛,子宮肌瘤,小腹脹,不孕症,月經不調,經痛,月經過多,月經過少,子宮位置不正",子宮位置不正之屈傾。,,images/圖1-29_婦科穴.jpg,notes/婦科穴.md,58
制汙穴,一一,一一部位,手指穴位,圖1-30,在大指背第一節中央線。；當大指背第一節中央線上。；制汙穴位於大指背中央線，計三穴，取穴採用四分點法。以採 血片刺出黑血。 58,以三稜針刺出黑血當時見效。,"瘡瘍久不收口,刀傷不收口,手術後傷口潰爛,中耳炎,帶狀皰疹",中耳炎及帶狀皰疹。,,images/圖1-30_制汙穴.jpg,notes/制汙穴.md,58
止涎穴,一一,一一部位,手指穴位,圖1-31,大指第一節之橈側。；當大指背第一節之內側（中央線內開二分），距前橫紋三分之一處一 穴，又距該橫紋三分之二處一穴，共二穴。；止涎穴位於大指背第一節內側， 計二穴，取穴採用三分點法。貼於骨旁下針，針深 一分至二分。,針深二分。,"小孩流口水,多涎",穴在肺經，透過手足太陰同名經通足太陰脾（脾主涎）；位當榮穴清熱止小兒熱性流涎；有補氣收攝之效（大人流涎多寒用水金水通更佳）。,,images/圖1-31_止涎穴.jpg,notes/止涎穴.md,64
五虎穴,一一,一一部位,手指穴位,圖1-32,在大指掌面第一節之橈側。；當大指掌面第一節之外側，每二分一穴，共 五穴。；五虎穴位於陰掌大指第一節A線， 圖1-32 五虎穴 計五穴，取穴採用六分點法，已如本節前言所述，自上而下，即自指尖向手掌順 數，依序為五虎一、五虎二、五虎三、五虎四、五虎五。,針深二分。,"全身骨腫,腳跟痛,腳痛,手痛,頭頂痛,手指痛,扳機指,類風濕關節炎,足趾痛,腳踝痛,肺炎咳嗽,扁桃體炎",腳跟痛、鞬鞘炎、扳機指、類風溼關節炎、手指痛、足趾痛酸、腳踝、 腳背痠痛、腳跟痠痛，肺炎咳嗽、瘰癧、扁桃體炎。（此處之主治全系按維傑新五 虎穴位置應用）,,images/圖1-32_五虎穴.jpg,notes/五虎穴.md,64
木穴,一一,一一部位,手指穴位,,食指第一節D線（掌心內側，中央線外開二分），三分點法取二穴（上穴距第二節橫紋三分三，下穴六分六）。針深二至三分。一般只取下穴。,,"肝火旺,脾氣躁,眼發乾,眼流淚,流鼻涕,鼻塞,感冒,手汗,手掌皸裂,手皮膚病,鵝掌風",食指屬大腸，透過「大腸與肝通」清肝火；位處後天八卦巽卦屬木主肝；肺主皮膚故治手皮病；大腸循行至鼻故治鼻病。治手皮膚病用患側，治其他病用對側。,治手皮膚病及手掌皸裂以患側為主；治其他各病以對側為主,images/noref_木穴.jpg,notes/木穴.md,
膽穴,一一,一一部位,手指穴位,,中指第一節大側、小側各中點，共二穴，二分點法。五分針，針一至二分；或以三稜針扎出血。,,"心驚,小兒夜哭,膝痛",心包與肝厥陰同名經相通，治心驚小兒夜哭；「包絡與胃通」，胃經過膝眼，治膝痛特效，理同內關治膝；心包與胃通，胃不和則臥不安，治夜哭。,以三稜針扎出血亦有效；以毫針針之即有效,,notes/膽穴.md,
二角明穴,一一,一一部位,手指穴位,,中指背第一節中央線，三分點法取二穴（距第二節橫紋三分三、六分六）。皮下針從橈骨側緣向外小指方向橫刺，針深半分。,,"閃腰岔氣,腰脊痛,腎痛,眉稜骨痛,鼻骨痛,眼壓高",中指對應督脈及人之中央；中指微太極中二角明對應腰脊，故治腰椎痛尤效；穴在心包經，中指與乾卦督脈及離卦心臟有關，治閃腰岔氣及眉稜骨痛鼻骨痛。,OCR 原標題誤切為「角明穴」；皮下橫刺,images/noref_二角明穴.jpg,notes/二角明穴.md,
指五金穴、指千金穴,一一,一一部位,手指穴位,,食指背第一節小側，三分點法取二穴（距第二節橫紋三分三為指五金，六分六為指千金）。貼骨旁下針，針深二至三分。,,"腸炎,腹痛,魚刺鯁喉,胃潰瘍,十二指腸潰瘍",穴在大腸經，大腸與肺表裡屬金（穴名取「金」字）；肺主喉系、大腸主腸腹，故治腸炎腹痛鯁喉；手足陽明同名經相通，治胃及十二指腸潰瘍。,OCR 原標題誤切為「指五金、指千穴」,,notes/指五金穴、指千金穴.md,
重子穴,二二,二二部位,手掌穴位,圖2-8,虎口下約一寸，即大指掌骨與食指掌骨之間。；手心向上，在大指掌骨與食指掌骨 之間，虎口下約一寸處是穴位。；五指併攏，陰掌食指之中央 線（即圖之C線）之延長線，與大拇指本節高 骨做一垂直線之交叉點，即重子穴。自重子 穴與掌緣平行斜下一寸即重仙穴。 圖 2-8 重子六,一寸針，針深三至五分。,"背痛,肺炎,感冒,咳嗽,氣喘,肩痛,頸痛,落枕,支氣管炎,子宮瘤,卵巢炎,胸痛",治療肩痛、頸痛、落枕，支氣管炎、支氣管哮喘、痰稠不易咳出，子 宮瘤、卵巢炎，胸痛。,,images/圖2-8_重子穴.jpg,notes/重子穴.md,72
重仙穴,二二,二二部位,手掌穴位,圖2-9,在大指骨與食指骨夾縫間，離虎口兩寸、與手背靈骨穴正對相通。；當大指骨與食指骨之間，距虎口兩寸處是穴。；五指併攏，陰掌食指之中央 線（即圖之C線）之延長線，與大拇指本節高 骨做一垂直線之交叉點，即重子穴。自重子 穴與掌緣平行斜下一寸即重仙穴。,一寸針，針深三至五分。 運用：重子、重仙兩針同時下針，為治背痛之特效針。,"背痛,肺炎,退燒,心跳,膝蓋痛,肩痛,頸痛,落枕,支氣管炎,氣喘,子宮瘤,卵巢炎,胸痛",肩痛、頸痛、落枕，支氣管炎、 支氣管哮喘、痰稠不易咳出，子宮瘤、卵巢炎， 胸痛。,,images/圖2-9_重仙穴.jpg,notes/重仙穴.md,72
大白穴,二二,二二部位,手掌穴位,圖2-10,在手背面，大指與食指叉骨間陷中，即第一掌骨與第二掌骨中間之 凹處。；拳手取穴（拇指彎曲抵食指第一節握拳），當虎口底外開五分處取之。；老師《董氏針灸正經奇穴學》原書 所載：“大指與食指叉骨間陷中，即第一掌骨與第二 掌骨中間之凹處。”即大腸經之合谷穴，原書之圖亦 繪於合谷穴位置。但老師針刺時則為三間穴。 楊維傑新大白穴：大白穴即大腸經之三間穴。 但緊貼骨緣下針，效果尤佳。靈骨、大白之取穴法， 必須立掌，虎口向上，針須一寸至一寸半以上，所謂 治下焦如權，非重不沉，治療坐骨神經痛必須深針， 圖2-10 大白穴 效果令人滿意。,用一寸針，針四分至六分深，治坐骨神經痛；用三稜針治小兒氣喘、發 高燒及急性肺炎（特效）。,"小兒氣喘,發高燒,坐骨神經痛,頭痛,三叉神經痛,顏面痙攣,目痛,落枕,牙痛,失眠,腰痛",治療高熱、三叉神經痛、顏面神經震顫（面肌痙攣）、目痛、頭痛 ［前頭（額頭）痛、偏正頭痛］、落枕、咽喉、鼻病、牙痛、失眠、嗜睡、惡阻、肚子痛、 腰痛、心口痛、咳嗽、手指痙攣等皆有效。還能治五十肩（肩關節周圍炎）。,孕婦禁針。,images/圖2-10_大白穴.jpg,notes/大白穴.md,72
靈骨穴,二二,二二部位,手掌穴位,圖2-11,在手背拇指與食指叉骨間，第一掌骨與 第二掌骨接合處，與重仙穴相通。；拳手取穴，在拇指、食指叉骨間，第一掌 骨第二掌骨接合處，距大白穴一寸二分，與重仙穴 相通。；靈骨之取穴法，緊貼骨緣下針，效果尤佳。必須立掌，虎口向 上，針須一寸至一寸半以上，所謂治下焦如權，非重不沉，治療坐骨神經痛必須深 針，效果令人滿意。,用一寸五分至二寸針，針深可透過重仙 圖2-11 靈骨穴 穴（過量針）。,"坐骨神經痛,腰痛,腳痛,半身不遂,偏頭痛,耳鳴,耳聾,半面神經麻痺,骨骼脹大,婦女經脈不調,難產,背痛,脊椎骨痛,小便痛",腳難舉抬（無力）、腹脹、肘痛、鼠蹊脹痛、頭暈、肩痛不舉、食慾不 振、脫肛、背痛、膝痛、腰痛、聽力不足、胸部打傷、慢性咳嗽、上腹脹悶。網球肘、 腳跟痛。,孕婦禁針。,images/圖2-11_靈骨穴.jpg,notes/靈骨穴.md,72
上白穴,二二,二二部位,手掌穴位,圖2-13,在手背面，食指與中指叉骨之間，距指骨 與掌骨接合處下五分。；手背向上，距指骨與掌骨接合處下五分， 食指骨與中指骨之間是穴。；在手背面，食指與中指叉骨之間，與大白穴平行，距指骨與掌骨 接合處下五分。,一寸針，針深三分至五分。,"眼角發紅,坐骨神經痛,胸下痛,腰背痛,肩背痛,眼痠脹,頸痛,腳無力",腰連背痛、肩背痛、眼痠脹、易疲勞、患側之手腕（橈側）扭傷、頸 痛（雙側並針）、腳無力。,,images/圖2-13_上白穴.jpg,notes/上白穴.md,76
下白穴,二二,二二部位,手掌穴位,圖2-15,在手背小指掌骨與無名指掌骨之間，距指骨與掌骨接連處一寸五分。；拳手取穴，當小指掌骨與無名指掌骨之間， 距指骨與掌骨一寸五分（即中白穴後一寸）是穴。,針深三分至五分。,"牙齒酸,肝微痛,近視眼,腰骨痛,坐骨神經痛,腎絞痛,腎結石,膽絞痛,閃腰岔氣",治少陽經走向之坐骨神經痛頗效。治腎絞痛、腎結石甚效。治膽 絞痛亦甚效。治閃腰岔氣亦甚效，治環腰一週痛甚效。,,images/圖2-15_下白穴.jpg,notes/下白穴.md,78
腕順一穴,二二,二二部位,手掌穴位,圖2-16,小指掌骨外側，距手腕橫紋二寸 五分。；在小指掌骨外側，距手腕橫紋二寸五 分處是穴。；腕順一位於小腸經之後溪穴後五分處。手術：針一寸至一 寸半。,針深二至四分。,"腎虧頭痛,眼花,坐骨神經痛,疲勞,腎臟炎,四肢骨腫,腰兩邊痛,背痛,近視眼,耳鳴,重聽,小腹脹,腰圍痛",治療足太陽經走向之坐骨神經痛、腰椎痛、腿彎痛、腳掌痛、耳鳴、 重聽、小腹脹、腰圍痛。,,images/圖2-16_腕順一穴.jpg,notes/腕順一穴.md,80
手解穴,二二,二二部位,手掌穴位,圖2-18,小指掌骨與無名指掌骨之間，握 拳時小指尖觸及之處。；手心向上，在小指掌骨與無名指 掌骨之間，握拳時小指尖觸及掌處是穴。；手解即心經之少府穴，在小指掌骨與無名指掌骨之間，握拳手 心向上，小指尖觸及掌處是穴。,針深三分至五分，停針十至廿分 鍾即解，或以三稜針出血即解。,"暈針,針後麻木,氣血錯亂刺痛,皮膚瘙癢",治療皮膚瘙癢甚效。,,images/圖2-18_手解穴.jpg,notes/手解穴.md,82
土水穴,二二,二二部位,手掌穴位,圖2-19,在拇指第一掌骨之內側。；在拇指第一掌骨之內側，距掌骨小頭一寸處 一穴，後五分一穴，再後五分一穴，共三穴。；在拇指第一掌骨之內側黑白肉際、距 掌骨小頭一寸處一穴，後五分一穴，再後五分一穴，共 圖2-19 土水穴 三穴。 楊維傑新土水穴：土水穴計有三個穴位，均位於手魚部位；中央之土水中穴 即魚際穴，自魚際至大指本節之中央點為土水上穴，自魚際至手腕橫紋之中央為 土水下穴。手術：貼骨針深五分至一寸。,針深二至五分。,"胃炎,久年胃病,手指手掌痛,手骨痛,氣喘,喉痛,肺炎",治氣喘甚效。治療喉痛甚效，治肺炎亦甚效。尚可治手指痛、手 掌痛、手骨痛。 現代解剖：肌肉：有外展拇短肌和拇對掌肌。血管：當拇指頭靜脈迴流支。 神經：布有前臂外側皮神經和橈神經淺支混合支。,,images/圖2-19_土水穴.jpg,notes/土水穴.md,82
中白穴,二二,二二部位,手掌穴位,,手背小指掌骨與無名指掌骨之間，距指骨與掌骨接連處五分，拳手取穴。針深三至五分。,,"腎臟病腰痛,腰痠,背痛,頭暈,眼散光,疲勞,坐骨神經痛,足外踝痛,四肢浮腫,脊椎骨痛",在手少陽經，透過「三焦與腎通」補腎治腰痛；位在手腕腰臍線，對應腎臟；中白下白倒馬並用主治腎虧各病，療效極佳。,此穴由 OCR 誤歸入上白穴段落；中白下白並用效更佳,images/noref_中白穴.jpg,notes/中白穴.md,
